SUN-RPC-WALLD,SUN-RPC,100008
SUN-RPC-YPBIND,SUN-RPC,100007
SYSLOG,UDP,514
TALK,UDP,517-518
TCP-ANY,TCP,Any
TELNET,TCP,23
TFTP,UDP,69
TRACEROUTE,ICMP,8,0
TRACEROUTE,UDP,33400-34000
UDP-ANY,UDP,Any
UUCP,UDP,540
VDO Live,TCP,7000-7010
VNC,TCP,5800
VNC,TCP,5900
WAIS,TCP,210
WHOIS,TCP,43
WINFRAME,TCP,1494
X-WINDOWS,TCP,6000-6063
YMSG,TCP,5050
